WHO 5-19 Reference (2007),,,,,,,,,,,,,,,,,,,
,,,Height,,,Height,,,Weight,,,Weight,,,BMI,,,BMI,
,,Boys,,,Girls,,,Boys,,,Girls,,,Boys,,,Girls,,
Month,Years,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
189,15.75,1,172.0748,0.04527,1,162.3719,0.04195,,,,,,,-1.39,20.3211,0.12541,-1.0603,20.5938,0.14031
190,15.83,1,172.3606,0.04516,1,162.4239,0.04189,,,,,,,-1.3777,20.3796,0.12554,-1.0525,20.6306,0.14044
191,15.92,1,172.6345,0.04506,1,162.4717,0.04182,,,,,,,-1.3653,20.4376,0.12567,-1.0447,20.6663,0.14057
192,16.00,1,172.8967,0.04495,1,162.5156,0.04176,,,,,,,-1.3529,20.4951,0.12579,-1.0368,20.7008,0.1407
193,16.08,1,173.147,0.04484,1,162.556,0.0417,,,,,,,-1.3403,20.5521,0.12591,-1.029,20.7344,0.14082
194,16.17,1,173.3856,0.04473,1,162.5933,0.04164,,,,,,,-1.3277,20.6085,0.12603,-1.0212,20.7668,0.14094
195,16.25,1,173.6126,0.04462,1,162.6276,0.04158,,,,,,,-1.3149,20.6644,0.12615,-1.0134,20.7982,0.14106
196,16.33,1,173.828,0.04451,1,162.6594,0.04152,,,,,,,-1.3021,20.7197,0.12627,-1.0055,20.8286,0.14118
197,16.42,1,174.0321,0.0444,1,162.689,0.04147,,,,,,,-1.2892,20.7745,0.12638,-0.9977,20.858,0.1413
198,16.50,1,174.2251,0.04429,1,162.7165,0.04141,,,,,,,-1.2762,20.8287,0.1265,-0.9898,20.8863,0.14142
199,16.58,1,174.4071,0.04418,1,162.7425,0.04136,,,,,,,-1.2631,20.8824,0.12661,-0.9819,20.9137,0.14153
200,16.67,1,174.5784,0.04407,1,162.767,0.0413,,,,,,,-1.2499,20.9355,0.12672,-0.974,20.9401,0.14164
